EventTemplate,Occurrences
<*> open through proxy <*> HTTPS
<*> close, <*> bytes sent, <*> bytes received, lifetime <*>
<*> close, <*> bytes sent, <*> bytes (<*> <*>) received, lifetime <*>
<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>
<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>
<*> open through proxy <*> SOCKS5
<*> error : A connection request was canceled before the completion.
<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.
<*> close, 466 bytes sent, 125682 bytes (122 <*>) received, lifetime <*>
<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>
<*> close, 983 bytes sent, <*> bytes <*> <*>) received, lifetime <*>
<*> close, 326 bytes sent, 103039 bytes (100 <*>) received, lifetime <*>
<*> close, 588 bytes sent, 215882 bytes (210 <*>) received, lifetime <*>
<*> close, <*> bytes <*> <*>) sent, <*> bytes (<*> <*>) received, lifetime <*>
<*> close, 446 bytes sent, 195160 bytes (190 <*>) received, lifetime <*>
<*> close, 154863 bytes (151 <*>) sent, 321609 bytes (314 <*>) received, lifetime <*>
<*> error : Could not connect to proxy <*> - Could not resolve <*> error 11001
<*> error : Could not connect to proxy <*> - connection attempt failed with error 10061
